rescomp_id,resource_component,avgannchange,normal,data_elements,yrsposttreat
72,Invasive species,-1.2,-0.003185334,Plant Canopy Cover,3.17
72,Invasive species,-1.4,-0.003716224,Plant Canopy Cover,2.17
72,Invasive species,-1.5,-0.003981668,Plant Canopy Cover,19.5
72,Invasive species,-1.5,-0.003981668,Plant Canopy Cover,3.17
72,Invasive species,-1.7,-0.004512557,Plant Canopy Cover,20.5
72,Invasive species,-3,-0.007963336,Plant Canopy Cover,19.5
72,Invasive species,-3.9,-0.010352337,Plant Canopy Cover,20.5
72,Invasive species,-6.1,-0.016192117,Plant Canopy Cover,2.08
72,Invasive species,-6.7,-0.017784784,Plant Canopy Cover,2.08
72,Invasive species,-6.7,-0.017784784,Plant Canopy Cover,20.5
72,Invasive species,-6.9,-0.018315673,Plant Canopy Cover,2.17
72,Invasive species,-7.58,-0.070927352,Plant Density,20.5
72,Invasive species,-8.33,-0.078020088,Plant Density,20.5
72,Invasive species,-9,-0.375855816,Litter Cover,20.5
72,Invasive species,-9,-0.023890009,Plant Canopy Cover,20.5
72,Invasive species,-9.7,-0.405089046,Litter Cover,3.17
72,Invasive species,-9.8,-0.026013565,Plant Canopy Cover,1.08
72,Invasive species,-10,-0.417617574,Litter Cover,20.5
72,Invasive species,-11.6,-0.030791567,Plant Canopy Cover,2.08
72,Invasive species,-11.9,-0.0315879,Plant Canopy Cover,2.08
72,Invasive species,-13,-0.03450779,Plant Canopy Cover,19.5
72,Invasive species,-13.04,-0.000212782,Plant Density,20.5
72,Invasive species,-13.5,-0.035835013,Plant Canopy Cover,19.5
72,Invasive species,-15,-0.62642636,Litter Cover,19.5
72,Invasive species,-15.8,-0.659835766,Litter Cover,2.08
72,Invasive species,-16.5,-0.689068996,Litter Cover,3.17
72,Invasive species,-16.67,-0.156040175,Plant Density,20.5
72,Invasive species,-17.3,-0.722478402,Litter Cover,2.08
72,Invasive species,-19,-0.79347339,Litter Cover,1.08
72,Invasive species,-20.5,-0.856116026,Litter Cover,2.17
72,Invasive species,-24,-0.06370669,Plant Canopy Cover,1.08
72,Invasive species,-25,-1.044043934,Litter Cover,19.5
72,Invasive species,-28,-1.169329206,Litter Cover,19.5
72,Invasive species,-30,-0.004255641,Plant Density,20.5
72,Invasive species,-33.33,-0.028370941,Plant Density,19.5
72,Invasive species,-37.88,-0.354636762,Plant Density,20.5
72,Invasive species,-40,-1.670470294,Litter Cover,19.5
72,Invasive species,-48,-2.004564353,Litter Cover,20.5
72,Invasive species,-53,-2.21337314,Litter Cover,19.5
72,Invasive species,-54.12,-0.326265821,Plant Density,19.5
72,Invasive species,-60,-2.505705441,Litter Cover,19.5
72,Invasive species,-62.12,-0.581604289,Plant Density,20.5
72,Invasive species,-75,-0.001276692,Plant Density,19.5
72,Invasive species,-78.26,-0.001276692,Plant Density,20.5
72,Invasive species,-80,-0.482305996,Plant Density,19.5
72,Invasive species,-87.06,-0.524862408,Plant Density,19.5
72,Invasive species,-88.33,-0.075182994,Plant Density,19.5
72,Invasive species,1500,0.212782057,Plant Density,20.5
72,Invasive species,1000,0.141854705,Plant Density,20.5
72,Invasive species,545.83,0.009291483,Plant Density,19.5
72,Invasive species,465.22,0.007589227,Plant Density,20.5
72,Invasive species,425,0.00723459,Plant Density,19.5
72,Invasive species,400,0.006525316,Plant Density,20.5
72,Invasive species,383.33,0.326265821,Plant Density,19.5
72,Invasive species,200,0.170225646,Plant Density,19.5
72,Invasive species,200,0.028370941,Plant Density,20.5
72,Invasive species,164.71,0.019859659,Plant Density,19.5
72,Invasive species,160.87,0.002624312,Plant Density,20.5
72,Invasive species,158.33,0.013476197,Plant Density,20.5
72,Invasive species,141.18,0.017022565,Plant Density,19.5
72,Invasive species,116.67,0.009929829,Plant Density,20.5
72,Invasive species,111.76,0.013476197,Plant Density,19.5
72,Invasive species,66.67,0.001134838,Plant Density,19.5
72,Invasive species,64.71,0.007802009,Plant Density,19.5
72,Invasive species,61,2.682989451,Bare Ground,19.5
72,Invasive species,58.82,0.007092735,Plant Density,19.5
72,Invasive species,55,2.419088849,Bare Ground,19.5
72,Invasive species,50,0.007092735,Plant Density,20.5
72,Invasive species,50,0.004255641,Plant Density,20.5
72,Invasive species,50,0.000851128,Plant Density,19.5
72,Invasive species,44,1.935271079,Bare Ground,20.5
72,Invasive species,43.6,0.11573382,Plant Canopy Cover,1.08
72,Invasive species,40,1.759337345,Bare Ground,20.5
72,Invasive species,35.4,0.093967367,Plant Canopy Cover,2.08
72,Invasive species,34.12,0.205689322,Plant Density,19.5
72,Invasive species,26.6,0.070608248,Plant Canopy Cover,2.08
72,Invasive species,25,0.002127821,Plant Density,20.5
72,Invasive species,25,1.099585841,Bare Ground,19.5
72,Invasive species,22.35,0.13476197,Plant Density,19.5
72,Invasive species,21,0.923652106,Bare Ground,19.5
72,Invasive species,18,0.791701805,Bare Ground,19.5
72,Invasive species,17.9,0.047514573,Plant Canopy Cover,2.17
72,Invasive species,17,0.747718372,Bare Ground,2.17
72,Invasive species,14.5,0.038489458,Plant Canopy Cover,3.17
72,Invasive species,13.5,0.035835013,Plant Canopy Cover,20.5
72,Invasive species,11.6,0.030791567,Plant Canopy Cover,20.5
72,Invasive species,11.5,0.030526122,Plant Canopy Cover,20.5
72,Invasive species,10.9,0.479419426,Bare Ground,2.17
72,Invasive species,10.6,0.028137121,Plant Canopy Cover,19.5
72,Invasive species,9.9,0.02627901,Plant Canopy Cover,20.5
72,Invasive species,9,0.395850903,Bare Ground,20.5
72,Invasive species,8.33,0.000709274,Plant Density,20.5
72,Invasive species,7.7,0.338672439,Bare Ground,2.08
72,Invasive species,7.7,0.338672439,Bare Ground,1.08
72,Invasive species,7.6,0.020173785,Plant Canopy Cover,19.5
72,Invasive species,7.6,0.020173785,Plant Canopy Cover,19.5
72,Invasive species,6,0.015926672,Plant Canopy Cover,20.5
72,Invasive species,6,0.263900602,Bare Ground,20.5
72,Invasive species,5.6,0.014864894,Plant Canopy Cover,3.17
72,Invasive species,5,0.219917168,Bare Ground,2.08
72,Invasive species,4.9,0.013006783,Plant Canopy Cover,19.5
72,Invasive species,4.8,0.012741338,Plant Canopy Cover,19.5
72,Invasive species,4.8,0.211120481,Bare Ground,3.17
72,Invasive species,4.2,0.011148671,Plant Canopy Cover,3.17
72,Invasive species,4,0.175933734,Bare Ground,20.5
72,Invasive species,3.8,0.010086893,Plant Canopy Cover,20.5
72,Invasive species,3.5,0.009290559,Plant Canopy Cover,20.5
72,Invasive species,2.8,0.007432447,Plant Canopy Cover,19.5
72,Invasive species,2.4,0.006370669,Plant Canopy Cover,19.5
72,Invasive species,1,0.002654445,Plant Canopy Cover,20.5
72,Invasive species,0.5,0.020880879,Litter Cover,20.5
72,Invasive species,0.4,0.001061778,Plant Canopy Cover,20.5
72,Invasive species,0.3,0.01319503,Bare Ground,3.17
72,Invasive species,0.1,0.000265445,Plant Canopy Cover,20.5
72,Invasive species,-0.2,-0.000530889,Plant Canopy Cover,19.5
72,Invasive species,-0.4,-0.001061778,Plant Canopy Cover,3.17
72,Invasive species,-0.5,-0.001327223,Plant Canopy Cover,19.5
72,Invasive species,-0.55,-0.001459945,Plant Canopy Cover,20.5
72,Invasive species,-0.7,-0.001858112,Plant Canopy Cover,19.5
72,Invasive species,-0.9,-0.002389001,Plant Canopy Cover,19.5
16,Moisture Management,-18.37,-0.011895851,Runoff,11
16,Moisture Management,-19.59,-0.013128958,Runoff,7
16,Moisture Management,-19.63,-0.013056422,Runoff,9
16,Moisture Management,-19.92,-0.010952888,Runoff,10
16,Moisture Management,-20.16,-0.013056422,Runoff,4
16,Moisture Management,-20.63,-0.010009924,Runoff,5
16,Moisture Management,-21.77,-0.011968387,Runoff,4
16,Moisture Management,-24.65,-0.016393064,Runoff,11
16,Moisture Management,-26.6,-0.025024809,Runoff,11
16,Moisture Management,-26.91,-0.013781779,Runoff,10
16,Moisture Management,-27.04,-0.009864852,Runoff,4.08
16,Moisture Management,-27.2,-0.013201494,Runoff,11
16,Moisture Management,-27.52,-0.011097959,Runoff,10
16,Moisture Management,-28.22,-0.026548059,Runoff,9
16,Moisture Management,-28.46,-0.019076884,Runoff,8
16,Moisture Management,-28.62,-0.012911351,Runoff,11
16,Moisture Management,-29.79,-0.014652207,Runoff,6.08
16,Moisture Management,-29.95,-0.016465599,Runoff,5
16,Moisture Management,-30.44,-0.023138882,Runoff,11
16,Moisture Management,-30.83,-0.011025423,Runoff,4
16,Moisture Management,-31.11,-0.011170495,Runoff,4
16,Moisture Management,-31.97,-0.024299453,Runoff,4
16,Moisture Management,-32.48,-0.014652207,Runoff,9
16,Moisture Management,-33.23,-0.016320528,Runoff,4
16,Moisture Management,-33.4,-0.012185994,Runoff,3.08
16,Moisture Management,-34.12,-0.012621208,Runoff,4.08
16,Moisture Management,-35.08,-0.033003734,Runoff,4
16,Moisture Management,-35.55,-0.023646632,Runoff,4
16,Moisture Management,-35.75,-0.019657169,Runoff,11
16,Moisture Management,-36,-2.462629681,Plant Foliar Cover,0
16,Moisture Management,-36.53,-0.021543097,Runoff,10
16,Moisture Management,-36.97,-0.044464372,Runoff,1
16,Moisture Management,-38.95,-0.01392685,Runoff,11
16,Moisture Management,-39.19,-0.014071922,Runoff,11
16,Moisture Management,-39.22,-0.014507136,Runoff,3.08
16,Moisture Management,-39.78,-0.0309002,Runoff,11
16,Moisture Management,-40.65,-0.02081774,Runoff,11
16,Moisture Management,-40.7,-0.032713592,Runoff,11
16,Moisture Management,-40.72,-0.032133306,Runoff,11
16,Moisture Management,-41.05,-0.034091769,Runoff,10
16,Moisture Management,-41.23,-0.033438948,Runoff,11
16,Moisture Management,-41.61,-0.033438948,Runoff,10
16,Moisture Management,-41.64,-0.020600133,Runoff,11
16,Moisture Management,-41.89,-0.020600133,Runoff,4.08
16,Moisture Management,-42.13,-0.034164305,Runoff,10
16,Moisture Management,-42.24,-0.033946698,Runoff,9
16,Moisture Management,-42.7,-0.051355261,Runoff,10
16,Moisture Management,-42.71,-0.040184767,Runoff,7
16,Moisture Management,-42.75,-0.034672055,Runoff,9
16,Moisture Management,-42.93,-0.019367026,Runoff,7
16,Moisture Management,-43.04,-0.040402374,Runoff,9
16,Moisture Management,-43.78,-0.028361451,Runoff,7
16,Moisture Management,-44.05,-0.019874776,Runoff,4
16,Moisture Management,-44.33,-0.029231879,Runoff,8
16,Moisture Management,-44.76,-0.021978311,Runoff,8
16,Moisture Management,-44.77,-0.029522022,Runoff,4
16,Moisture Management,-45.8,-0.030464985,Runoff,8
16,Moisture Management,-45.94,-0.038153768,Runoff,9
16,Moisture Management,-45.96,-0.055272188,Runoff,11
16,Moisture Management,-46.51,-0.027998772,Runoff,11
16,Moisture Management,-46.51,-0.025097345,Runoff,11
16,Moisture Management,-46.6,-0.043739015,Runoff,11
16,Moisture Management,-47.12,-0.019004348,Runoff,8
16,Moisture Management,-48.46,-0.028579058,Runoff,11
16,Moisture Management,-49.04,-0.046132692,Runoff,8
16,Moisture Management,-49.4,-0.029739629,Runoff,9
16,Moisture Management,-49.61,-0.041200266,Runoff,11
16,Moisture Management,-50.27,-0.040402374,Runoff,4
16,Moisture Management,-50.72,-0.04112773,Runoff,4
16,Moisture Management,-51.27,-0.026257916,Runoff,4
16,Moisture Management,-52.1,-0.039604481,Runoff,7
16,Moisture Management,-53.14,-0.063903934,Runoff,9
16,Moisture Management,-54.33,-0.050992583,Runoff,4
16,Moisture Management,-55.3,-0.037065732,Runoff,5
16,Moisture Management,-56.3,-0.027853701,Runoff,9
16,Moisture Management,-56.66,-0.020672669,Runoff,9.08
16,Moisture Management,-56.86,-0.021035347,Runoff,5.08
16,Moisture Management,-57.23,-0.034454448,Runoff,7
16,Moisture Management,-57.69,-0.034019234,Runoff,4
16,Moisture Management,-58.07,-0.034962198,Runoff,4
16,Moisture Management,-59.2,-0.045987621,Runoff,4
16,Moisture Management,-59.83,-0.047220727,Runoff,4
16,Moisture Management,-59.95,-0.032350913,Runoff,9
16,Moisture Management,-60.52,-0.050267226,Runoff,4
16,Moisture Management,-61.28,-0.049251727,Runoff,7
16,Moisture Management,-61.59,-0.057810937,Runoff,8
16,Moisture Management,-61.63,-0.049977083,Runoff,7
16,Moisture Management,-62.77,-0.025314952,Runoff,5
16,Moisture Management,-63.03,-0.032278377,Runoff,5
16,Moisture Management,-63.08,-0.030610057,Runoff,9
16,Moisture Management,-63.61,-0.041200266,Runoff,9
16,Moisture Management,-65.1,-0.032205842,Runoff,4
16,Moisture Management,-65.57,-0.043231265,Runoff,7
16,Moisture Management,-66.67,-0.032350913,Runoff,7
16,Moisture Management,-67.16,-0.033221341,Runoff,7
16,Moisture Management,-67.34,-0.055925009,Runoff,8
16,Moisture Management,-67.41,-0.037065732,Runoff,9
16,Moisture Management,-67.63,-0.008486675,Runoff,3
16,Moisture Management,-67.9,-0.040039695,Runoff,5
16,Moisture Management,-67.99,-0.033438948,Runoff,3.08
16,Moisture Management,-68.01,-0.036703054,Runoff,4
16,Moisture Management,-68.16,-0.064121541,Runoff,5
16,Moisture Management,-68.19,-0.024879738,Runoff,5.08
16,Moisture Management,-68.25,-0.053023582,Runoff,7
16,Moisture Management,-68.32,-0.05490951,Runoff,8
16,Moisture Management,-68.6,-0.055634866,Runoff,8
16,Moisture Management,-68.75,-0.054256688,Runoff,7
16,Moisture Management,-68.99,-0.052443296,Runoff,9
16,Moisture Management,-69.26,-0.046422835,Runoff,1
16,Moisture Management,-69.48,-0.083561103,Runoff,8
16,Moisture Management,-69.72,-0.083851246,Runoff,4
16,Moisture Management,-69.84,-0.054256688,Runoff,9
16,Moisture Management,-69.89,-0.037718553,Runoff,7
16,Moisture Management,-70.31,-0.055489795,Runoff,9
16,Moisture Management,-70.58,-0.038806589,Runoff,7
16,Moisture Management,-70.99,-0.047220727,Runoff,7
16,Moisture Management,-73.84,-0.035832626,Runoff,8
16,Moisture Management,-74.48,-0.049106655,Runoff,3
16,Moisture Management,-74.9,-0.02770863,Runoff,2.08
16,Moisture Management,-75.33,-0.036993197,Runoff,7
16,Moisture Management,-75.92,-0.049179191,Runoff,8
16,Moisture Management,-76.06,-0.03895166,Runoff,7
16,Moisture Management,-76.06,-0.02720088,Runoff,9
16,Moisture Management,-76.06,-0.02720088,Runoff,5
16,Moisture Management,-76.16,-0.027345951,Runoff,9
16,Moisture Management,-76.16,-0.027345951,Runoff,5
16,Moisture Management,-76.91,-0.042288301,Runoff,8
16,Moisture Management,-77.49,-0.034962198,Runoff,8
16,Moisture Management,-78.1,-0.073478644,Runoff,1
16,Moisture Management,-78.61,-0.009864852,Runoff,7
16,Moisture Management,-79.21,-0.046712978,Runoff,7
16,Moisture Management,-79.44,-0.074566679,Runoff,7
16,Moisture Management,-79.48,-0.060422221,Runoff,8
16,Moisture Management,-79.89,-0.040910123,Runoff,9
16,Moisture Management,-81.12,-0.097560489,Runoff,7
16,Moisture Management,-81.34,-0.029086808,Runoff,8
16,Moisture Management,-81.41,-0.029231879,Runoff,8
16,Moisture Management,-82.53,-0.048671441,Runoff,9
16,Moisture Management,-82.63,-0.064194077,Runoff,5
16,Moisture Management,-82.9,-0.065427183,Runoff,5
16,Moisture Management,-83.13,-0.050049619,Runoff,8
16,Moisture Management,-83.98,-0.030029771,Runoff,7
16,Moisture Management,-84.04,-0.030174843,Runoff,7
16,Moisture Management,-85.41,-0.070939895,Runoff,7
16,Moisture Management,-86.01,-0.103435879,Runoff,3
16,Moisture Management,-86.41,-0.042433373,Runoff,5
16,Moisture Management,-86.8,-0.042941122,Runoff,8
16,Moisture Management,-87.44,-0.042941122,Runoff,1
16,Moisture Management,-87.77,-0.068183539,Runoff,8
16,Moisture Management,-87.9,-0.047438335,Runoff,8
16,Moisture Management,-87.96,-0.069416645,Runoff,8
16,Moisture Management,-88.02,-0.057013044,Runoff,1
16,Moisture Management,-88.79,-0.043666479,Runoff,2.08
16,Moisture Management,-89.03,-0.057665865,Runoff,5
16,Moisture Management,-89.79,-0.068256075,Runoff,1
16,Moisture Management,-89.9,-0.006455675,Runoff,3.08
16,Moisture Management,-89.93,-0.03626784,Runoff,3
16,Moisture Management,-90.03,-0.044536907,Runoff,5
16,Moisture Management,-90.65,-0.068908896,Runoff,5
16,Moisture Management,-90.65,-0.046422835,Runoff,8
16,Moisture Management,-90.86,-0.049034119,Runoff,5
16,Moisture Management,-90.88,-0.073043429,Runoff,5
16,Moisture Management,-90.97,-0.073768786,Runoff,5
16,Moisture Management,-91.88,-0.054184153,Runoff,8
16,Moisture Management,-91.97,-0.076380071,Runoff,5
16,Moisture Management,-92.11,-0.045697478,Runoff,2.08
16,Moisture Management,-92.58,-0.07688782,Runoff,1
16,Moisture Management,-92.85,-0.061220114,Runoff,5
16,Moisture Management,-93.04,-0.033946698,Runoff,2.08
16,Moisture Management,-93.35,-0.037646018,Runoff,7
16,Moisture Management,-94.05,-0.063033506,Runoff,3
16,Moisture Management,-94.88,-0.047075656,Runoff,5.08
16,Moisture Management,-95.76,-0.090089314,Runoff,3
16,Moisture Management,-95.91,-0.047583406,Runoff,4.08
16,Moisture Management,-95.96,-0.046567906,Runoff,3
16,Moisture Management,-96.08,-0.115549338,Runoff,5
16,Moisture Management,-96.29,-0.064049005,Runoff,5
16,Moisture Management,-96.44,-0.053023582,Runoff,3
16,Moisture Management,-96.86,-0.035832626,Runoff,6.08
16,Moisture Management,-97.16,-0.064629291,Runoff,3
16,Moisture Management,-97.16,-0.064629291,Runoff,1
16,Moisture Management,-97.27,-0.043884086,Runoff,5
16,Moisture Management,-97.37,-0.091394956,Runoff,5
16,Moisture Management,-97.37,-0.048308763,Runoff,3.08
16,Moisture Management,-97.66,-0.048453834,Runoff,6.08
16,Moisture Management,-97.84,-0.009864852,Runoff,2.08
16,Moisture Management,-97.95,-0.058971508,Runoff,5
16,Moisture Management,-97.99,-0.091975242,Runoff,3
16,Moisture Management,-97.99,-0.091975242,Runoff,1
16,Moisture Management,-99.1,-0.079644176,Runoff,3
16,Moisture Management,-99.11,-0.080369533,Runoff,3
16,Moisture Management,-100,-0.083053353,Runoff,3
16,Moisture Management,-100,-0.08109489,Runoff,1
16,Moisture Management,-100,-0.080369533,Runoff,1
16,Moisture Management,-100,-0.078918819,Runoff,3
16,Moisture Management,-100,-0.078918819,Runoff,1
16,Moisture Management,-100,-0.077685713,Runoff,3
16,Moisture Management,-100,-0.077685713,Runoff,1
16,Moisture Management,-100,-0.076017392,Runoff,3
16,Moisture Management,-100,-0.064774362,Runoff,3
16,Moisture Management,-100,-0.060204614,Runoff,3
16,Moisture Management,-100,-0.060204614,Runoff,1
16,Moisture Management,-100,-0.058971508,Runoff,3
16,Moisture Management,-100,-0.058971508,Runoff,1
16,Moisture Management,-100,-0.054982045,Runoff,1
16,Moisture Management,-100,-0.053966546,Runoff,3
16,Moisture Management,-100,-0.053966546,Runoff,1
16,Moisture Management,-100,-0.05121019,Runoff,3
16,Moisture Management,-100,-0.05121019,Runoff,1
16,Moisture Management,-100,-0.049469334,Runoff,3
16,Moisture Management,-100,-0.049469334,Runoff,1
16,Moisture Management,-100,-0.049106655,Runoff,3
16,Moisture Management,-100,-0.04852637,Runoff,1
16,Moisture Management,-100,-0.045117193,Runoff,3
16,Moisture Management,-100,-0.045117193,Runoff,1
16,Moisture Management,-100,-0.035905161,Runoff,3
16,Moisture Management,-100,-0.035905161,Runoff,1
16,Moisture Management,-100,-0.03576009,Runoff,3
16,Moisture Management,-100,-0.03576009,Runoff,1
16,Moisture Management,-100,-0.010082459,Runoff,3.08
16,Moisture Management,-100,-0.008849353,Runoff,3.08
16,Moisture Management,-100,-0.008849353,Runoff,2.08
16,Moisture Management,-100,-0.007181032,Runoff,2.08
16,Moisture Management,35.48,0.054005452,Infiltration Rate,7.67
16,Moisture Management,19,1.29972122,Plant Foliar Cover,12
16,Moisture Management,17.86,0.024547933,Infiltration Rate,7.67
16,Moisture Management,17.65,0.029457519,Infiltration Rate,7.67
16,Moisture Management,9,0.61565742,Plant Foliar Cover,12
16,Moisture Management,3,0.20521914,Plant Foliar Cover,10
16,Moisture Management,3,0.125285272,Litter Cover,11
16,Moisture Management,1,0.041761757,Litter Cover,12
16,Moisture Management,1,0.041761757,Litter Cover,10
16,Moisture Management,0,0,Micro-relief variability,10
16,Moisture Management,0,0,Infiltration Rate,7.67
16,Moisture Management,-1,-0.041761757,Litter Cover,1
16,Moisture Management,-1,-0.041761757,Litter Cover,10
16,Moisture Management,-1,-0.041761757,Litter Cover,-1
16,Moisture Management,-2,-0.13681276,Plant Foliar Cover,11
16,Moisture Management,-2,-0.083523515,Litter Cover,11
16,Moisture Management,-2,-0.083523515,Litter Cover,0
16,Moisture Management,-4,-0.27362552,Plant Foliar Cover,11
16,Moisture Management,-4,-0.167047029,Litter Cover,12
16,Moisture Management,-5.13,-0.009819173,Infiltration Rate,7.67
16,Moisture Management,-6,-0.41043828,Plant Foliar Cover,11
16,Moisture Management,-7,-0.47884466,Plant Foliar Cover,0
16,Moisture Management,-8,-0.54725104,Plant Foliar Cover,12
16,Moisture Management,-8.96,-0.029457519,Infiltration Rate,7.5
16,Moisture Management,-9.09,-0.01472876,Infiltration Rate,7.67
16,Moisture Management,-9.43,-0.024547933,Infiltration Rate,8.67
16,Moisture Management,-10.64,-0.024547933,Infiltration Rate,8.5
16,Moisture Management,-11,-0.75247018,Plant Foliar Cover,-1
16,Moisture Management,-11.63,-0.024547933,Infiltration Rate,8.67
16,Moisture Management,-12,-0.82087656,Plant Foliar Cover,1
16,Moisture Management,-12.5,-0.257953337,Micro-relief variability,11
16,Moisture Management,-14.29,-0.257953337,Micro-relief variability,10
16,Moisture Management,-14.29,-0.257953337,Micro-relief variability,-1
16,Moisture Management,-14.81,-0.039276693,Infiltration Rate,8.67
16,Moisture Management,-15,-0.659751504,Bare Ground,21.67
16,Moisture Management,-15.87,-0.049095866,Infiltration Rate,8.67
16,Moisture Management,-16,-0.039276693,Infiltration Rate,8.5
16,Moisture Management,-16.07,-0.044186279,Infiltration Rate,7.5
